"SERVICE GAGNON ELECTRIQUE INC.","907945","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","6 573 $ "
"SERVICE GAGNON ELECTRIQUE INC.","914435","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 607 $ "
"SERVICE GAGNON ELECTRIQUE INC.","917631","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","5 793 $ "
"SERVICE GAGNON ELECTRIQUE INC.","918110","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","8 856 $ "
"SERVICE GAGNON ELECTRIQUE INC.","914251","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","14 227 $ "
"SERVICE GAGNON ELECTRIQUE INC.","926776","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","10 770 $ "
"SERVICE GAGNON ELECTRIQUE INC.","932726","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 838 $ "
"SERVICE GAGNON ELECTRIQUE INC.","953584","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 059 $ "
"SERVICE GAGNON ELECTRIQUE INC.","949674","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 063 $ "
"SERVICE GAGNON ELECTRIQUE INC.","950874","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 470 $ "
"SERVICE GAGNON ELECTRIQUE INC.","960283","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 541 $ "
"SERVICE GAGNON ELECTRIQUE INC.","957665","LEVESQUE, PIERRE","TRAVAUX ÉLECTRIQUES DANS DIVERS BÂTIMENTS","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 640 $ "
"SERVICE HYDRAULIQUE S.O.G.","945483","JOLY, LINDA","ACHAT D'UN VÉRIN A COLONNE SPOA10-SW TEL QUE SOUMISSION 10 MARS 2014","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","6 896 $ "
"SERVICES AUDIO-VISUELS TECHNI-LOGIQUE INC.","922007","BECHARD, FRANCOIS","AJOUT DE NOUVEAUX VIDÉOS POUR LE CAMP DE BASE 1000 JOURS POUR LA PLANÈTE - SYLVIE TOUSIGNANT (SELON SOUMISSION 001630)","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 664 $ "
"SERVICES AXSIMO INC.","918217","BRUNELLE, CHARLES-MATHIEU","GESTION DE PROJETS DE CONSTRUCTION - RÉNOVATION - ACQUISITION DE LICENCE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","20 000 $ "
"SERVICES AXSIMO INC.","953966","BOUVRETTE, JEAN","IMPLANTATION LOGICIAL AIDA - GESTION DE PROJETS DE CONSTRUCTION/ RÉNOVATION","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","8 800 $ "
"SERVICES AXSIMO INC.","FT00000264","DAOUST, LINDA","BC-205309","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 520 $ "
"SERVICES AXSIMO INC.","984394","BOUVRETTE, JEAN","FORMATION ET COACHING","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","6 500 $ "
"SERVICES CINEMATOGRAPHIQUES IXION INC.","953083","LACOMBE, PIERRE","SERVICES DE RELATIONS AVEC LES MÉDIAS RELIÉS À UNE DIZAINE D'ÉVÉNEMENTS CULTURELS ET SCIENTIFIQUES D'ESPACE POUR LA VIE EN 2014","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","21 707 $ "
"SERVICES COMMÉMORATIFS MONT-ROYAL","RMI0001004600000924360004","DÉTAILS PROVENANT DU SYSTÈME DE GESTION DES RÉCLAMATIONS","SERVICES COMMÉMORATIFS MONT-ROYAL\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-002767, SUR LA LISTE DE PAIEMENT 1407IC003 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","4 600 $ "
"SERVICES D'ARBRES PRIMEAU INC.","889044","LAMONTAGNE, ROBERT","SERVICE DE DÉPISTAGE DE L'AGRILE DU FRÊNE PAR ÉCORÇAGE DE BRANCHES. APPEL D'OFFRES SUR INVITATION 13-13131. CONTRAT NO 13-6620","SERVICE DE LA QUALITÉ DE VIE","HORTICULTURE ET ARBORICULTURE","70 948 $ "
"SERVICES DE CAFE VAN HOUTTE INC.","928736","MCSWEEN, BRIGITTE","SERVICES DE CAFÉ VAN HOUTTE - ACHAT DE CAFÉ, THÉ, LAIT, SUCRE ET ACCESSOIRES (VERRES, BÂTONNETS À CAFÉ, FILTRES) POUR LE CABINET DU MAIRE ET DU COMITÉ EXÉCUTIF DURANT L'ANNÉE 2014 / CLIENT NO. 121010","DIRECTION GÉNÉRALE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","7 891 $ "
"SERVICES DE CAFE VAN HOUTTE INC.","931112","SIMARD-MENARD, JOEL","SERVICES DE CAFÉ VAN HOUTTE - FRAIS DE LOCATION MENSUELLE D'UNE MACHINE À CAFÉ, ACHAT DE VARIÉTÉS DE CAFÉ, THÉ, VERRES, BÂTONNETS À CAFÉ ET AUTRES ACCESSOIRES POUR LE CABINET DE L'OPPOSITION OFFICIELLE DURANT L'ANNÉE 2014 / CLIENT 136025","DIRECTION GÉNÉRALE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","2 776 $ "
"SERVICES DE GAZ NATUREL RBC INC.","RBC131223164","GELINAS, ISABELLE","GAZ NATUREL DÉCEMBRE 2013","FACTURATION PÉRIODIQUE À RÉPARTIR SELON UTILISATION",,"427 444 $ "
"SERVICES D'EDITION GUY CONNOLLY (LES)","934340","BERGERON, JACQUES","BVG-SP 2014-05 SERVICES PROFESSIONNELS","BUREAU DU VÉRIFICATEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","39 410 $ "
"SERVICES D'EDITION GUY CONNOLLY (LES)","956965","BERGERON, JACQUES","CONTRAT DE SERVICE PROFESSIONNELS BVG-SP 2014-04","BUREAU DU VÉRIFICATEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","9 334 $ "
"SERVICES D'EDITION GUY CONNOLLY (LES)","969199","VAILLANCOURT, SERGE","CONTRAT DE SERVICES PROFESSIONNELS BVG-SP-2014-14","BUREAU DU VÉRIFICATEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","5 186 $ "
"SERVICES D'EDITION GUY CONNOLLY (LES)","934340","BERGERON, JACQUES","BVG-SP 2014-05 SERVICES PROFESSIONNELS","BUREAU DU VÉRIFICATEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","26 555 $ "
"SERVICES D'ENTRETIEN BROMAR INC. (LES)","937490","LEMAY, JULIE","ENLÈVEMENT DE TAPIS (SALLE OMNI SPORT)","SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS","GESTION INSTALL. - CENTRES COMMUN. - ACT.RÉCRÉATIVES","4 978 $ "
"SERVICES D'ENTRETIEN BROMAR INC. (LES)","909515","MONDOU, JOSEE","SERVICE D'ENTRETIEN À PISCINE GEORGES-VERNOT","SERVICE DE LA QUALITÉ DE VIE","GESTION INSTALL. - PISCINES, PLAGES ET PORTS DE PLAISANCE","3 959 $ "
"SERVICES DOCUMENTAIRES MULTIMEDIA INC","960269","RAYMOND, BRIGITTE","RÉABONNEMENT FAUTOR PLUS INTERNET 2014-2015","SERVICE DE LA CULTURE","BIBLIOTHÈQUES","8 452 $ "
"SERVICES DOCUMENTAIRES MULTIMEDIA INC","936879","GUILLEMETTE-LABORY, LOUISE","RENOUVELLEMENT DE REPÈRE INTERNET 2014","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","26 014 $ "
"SERVICES DOCUMENTAIRES MULTIMEDIA INC","936879","MARCOUX, ALAIN","RENOUVELLEMENT DE REPÈRE INTERNET 2017.","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","26 014 $ "
"SERVICES ENERGETIQUES R.L. INC.","960631","FISET, DANIEL","CHAUFFAGE - BRÛLEUR (GAZ) POUR LA CENTRALE DES ALARMES - R.  LAMOUREUX C/M.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","13 851 $ "
"SERVICES ENTRETIEN ALPHANET INC.","891272","LORD, MICHEL","ENTRETIEN SANITAIRE POUR DIVERS BÂTIMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","5 758 $ "
"SERVICES ENTRETIEN ALPHANET INC.","899215","LEVESQUE, PIERRE","NETTOYAGE APRÈS REFOULEMENT D'ÉGOUT AU PDQ 26 OUEST","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 704 $ "
"SERVICES ENTRETIEN ALPHANET INC.","917232","LEVESQUE, PIERRE","TRAVAUX D'ENTRETIEN DANS DIVERS BÂTIMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","13 345 $ "
"SERVICES ENTRETIEN ALPHANET INC.","917914","LEVESQUE, PIERRE","TRAVAUX D'ENTRETIEN SANITAIRE DANS DIVERS BÂTIMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","5 688 $ "
"SERVICES ENTRETIEN ALPHANET INC.","945149","LEVESQUE, PIERRE","ENTRETIEN SANITAIRE DANS DIVERS BÂTIMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 805 $ "
"SERVICES ENTRETIEN ALPHANET INC.","945298","LEVESQUE, PIERRE","AJUSTEMENT POUR L'ENTRETIEN SANITAIRE POUR L'ANNÉE 2013","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","6 137 $ "
"SERVICES ENTRETIEN ALPHANET INC.","972243","LEVESQUE, PIERRE","ENTRETIEN SANITAIRE POUR DIVERS BÂTIMENTS","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 308 $ "
"SERVICES ENTRETIEN ALPHANET INC.","982229","LEVESQUE, PIERRE","ETNRETIEN SANITAIRE DANS DIVERS BÂTIMENTS","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES GPI - À RÉPARTIR","12 000 $ "
"SERVICES ENTRETIEN ALPHANET INC.","982219","LEVESQUE, PIERRE","ENTRETIEN SANITAIRE DANS DIVERS BÂTIMENTS","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES GPI - À RÉPARTIR","13 284 $ "
"SERVICES HORTICOLES, LES POUSSES URBAINES","952562","SAVAGE, CLAUDE","TECHNICIEN/NE HORTICOLE, CHARGÉ(E) DE PROJET... ( CLAUDE SAVAGE )","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 183 $ "
"SERVICES INTEGRES LEMAY ET ASSOCIES INC","896268","BRUNELLE, CHARLES-MATHIEU","CONDUIRE L'ÉTUDE PRÉLIMINAIRE DES BESOINS, PRINCIPALEMENT SUR L'ANALYSE, LA DÉFINITION DU PROJET ET LE PROCESSUS D'IDÉATION DU PROJET DU BIODÔME RENOUVELÉ.","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","21 500 $ "
"SERVICES LINGUISTIQUES VERONICA SCHAMI","958832","LANGLOIS, PAUL","R. C : 13-2.6.1-114 /  R. C : 13-2.6.1-139  SERVICES DE TRADUCTION DANS LES DEUX LANGUES OFFICIELLES AINSI QUE DES SERVICES DE CORRECTION D'ÉPREUVES ET DE RÉVISION.","SERVICE DE LA CULTURE","BIENS PATRIMONIAUX","5 186 $ "
"SERVICES LINGUISTIQUES VERONICA SCHAMI","947585","CHOQUET, JEAN-ROBERT","TRADUCTION EN ANGLAIS POUR SITE WEB SERVICE DE LA CULTURE VILLE DE MONTRÉAL","SERVICE DE LA QUALITÉ DE VIE","ACT. CULTURELLES - DIR. ET ADM. - À RÉPARTIR","12 445 $ "
"SERVICES LINGUISTIQUES VERSACOM INC","934381","BISSONNETTE, JEAN-MARC","AUTORISER L'ACHAT DE SERVICES DE TRADUCTION POUR LES BILLETS DU BLOGUE MODEMONTREAL.TV  LE SITE WEB EST BILINGUE ET DOIT PRÉSENTER DES TEXTES DE QUALITÉ DANS LES DEUX LANGUES OFFICIELLES  POUR 2014","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","5 412 $ "
"SERVICES MATREC INC.","888704","PRONOVOST, RENE","MIM / SERVICE DE VIDANGE DE LA TOILETTE ROULOTTE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","4 000 $ "
"SERVICES MATREC INC.","961202","KERR, NATASHA","LOCATION DE TOILETTE CHIMIQUES - TENTE LUNCH ET JARDIN DE CHINE","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 457 $ "
"SERVICES RACK-TEK INC.","942312","LABELLE, MARC-ANDRÉ","RAPPORT D'INSPECTION ET RAPPORT DE CAPACITÉ POUR LE CDL ET LE HANGAR DU 955 LOUVAIN, SCELLÉ PAR UN INGÉNIEUR MEMBRE DE L'O.I.Q.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 696 $ "
"SERVICES STI INC","887807","LÊ, SON-THU","ACHAT DE TROIS MODULES SYNCHRO GPS-DC.","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","4 586 $ "
"SERVICES STI INC","906720","TRUDEAU, ALAIN","SOUMISSION 15554 - ACHAT DE SYSTÈME DE COMPTAGE WAVETRONIX ET MISE EN OPÉRATION POUR FEUX DE CIRCULATION SUR PIE-IX","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","22 822 $ "
"SERVICES STI INC","910435","LÊ, SON-THU","SOUMISSION 15792 - ACHAT, INSTALLATION ET MISE EN SERVICE PLUS FORMATION","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","9 568 $ "
"SERVICES STI INC","921002","CARETTE, CLAUDE","ACHAT DE DÉTECTEURS BLUETOOTH SOLAIRES MOBILES","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","SIGNALISATION LUMINEUSE","19 462 $ "
"SERVICES TECHNIQUES D.C.E. INC.","916141","SARRAZIN, MARC","FABRICATION ET LIVRAISON DE POUTRES D'ACIER AFIN DE SÉCURISER LE MUR DE SOUTENEMENT DE L'AUTOROUTE BONAVENTURE (81-5130D).","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","20 419 $ "
"SERVICES WHISKY ECHO BRAVO INC.","835720","BISSONNETTE, JEAN-MARC","MAINTENANCE SUR LE SITE INTERNET MODEMONTREAL.TV","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","5 499 $ "
"SERVICES WHISKY ECHO BRAVO INC.","941848","BISSONNETTE, JEAN-MARC","RETENIR LES SERVICES DE WHISKY ECHO BRAVO POUR UNE BANQUE D'HEURES DE PROGRAMMATION WEB POUR L'ANNÉE 2014, AFIN D'EFFECTUER DES MISES À JOUR SUR LE SITE WWW.MODEMONTREAL.TV.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","5 446 $ "
"SERVI-TECH PRESTIGE R.T. INC.","ROS736338","BRANCONNIER, SERGE","REPARATION SUR MACHINE ARBOUR POUR MENUISERIE","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 178 $ "
"SEVERINE LE GALL","890247","FILION, IVAN","PROGRAMME CONTACT: PLANIFICATION ET RÉALISATION DE PLUSIEURS ANIMATIONS DE LECTURE DANS LES LIEUX FRÉQUENTÉS PAR DES ENFANTS DE 0 À 5 ANS ET LEURS PARENTS.","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","7 840 $ "
"SEVERINE LE GALL","927081","FILION, IVAN","PROGRAMME CONTACT: PLANIFICATION ET RÉALISATION DE PLUSIEURS ANIMATIONS DE LECTURE DANS LES LIEUX FRÉQUENTÉS PAR DES ENFANTS DE 0 À 5 ANS ET LEURS PARENTS.","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","13 440 $ "
"SHANTI LOISELLE","977501","LECLERC, JEAN-FRANCOIS","GESTION DES MÉDIAS SOCIAUX DU 16-06-2014 AU 31-08-2014","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS CULTURELLES","5 663 $ "
"SHANTI LOISELLE","968477","CHOQUET, JEAN-ROBERT","SOUTIEN PROGRAMMATION ESTIVALE DU 19 MARS AU 22 JUIN 2014","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS CULTURELLES","4 530 $ "
"SHANTI LOISELLE","893589","CHOQUET, JEAN-ROBERT","REFONTE DU SITE WEB - DIRECTION DE LA CULTURE ET DU PATRIMOINE","SERVICE DE LA QUALITÉ DE VIE","ACT. CULTURELLES - DIR. ET ADM. - À RÉPARTIR","5 200 $ "
"SHANTI LOISELLE","912296","LANGLOIS, PAUL","GESTION DE COMMUNAUTÉS EN LIGNE ET STRATÉGIES 2.0","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","4 680 $ "
"SHANTI LOISELLE","915827","CHOQUET, JEAN-ROBERT","TRAVAUX DE RÉDACTION COMMUNIQUÉS ET CONTENU POUR LE WEB","SERVICE DE LA QUALITÉ DE VIE","ACT. CULTURELLES - DIR. ET ADM. - À RÉPARTIR","5 500 $ "
"SHANTI LOISELLE","942833","LANGLOIS, PAUL","GESTION MÉDIAS SOCIAUX ET BLOGUE","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","8 294 $ "
"SHARIAR MATIN ET MARJA AKTTHER MATIN","942565","GAGNIER, PHILIPPE","RÈGLEMENT RÉCLAMATION DOSSIER 2140512009 #13-004790","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","4 752 $ "
"SHARON HACKETT","981886","ULYSSE, JACQUES","SHARON HACKETT - DEPLACEMENT A SHANGHAI. CDM.","DIRECTION GÉNÉRALE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","2 942 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","964338","DESNOYERS, ERIC-CHRISTOPHER","MULTIFONCTIONS POUR LE BUREAU DE L'INSPECTEUR GÉNÉRAL","BUREAU DE L'INSPECTEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","12 826 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","888122","SINCLAIR, NANCY","FRAIS DE COPIES D'UN PHOTOCOPIEUR SHARP, MODÈLE MXM550N, DU BUREAU DES ÉLECTIONS (9265 LE ROYER), POUR L'ANNÉE 2013","DIRECTION GÉNÉRALE","GREFFE","2 200 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","953492","LAPOINTE, NORMAND","ACHAT D'UN PHOTOCOPIEUR SHARP, MODÈLE MX4141N, AVEC MODULE TÉLÉCOPIE (POUR DGA).","DIRECTION GÉNÉRALE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","4 477 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","14237895","MAGNE, HELENE","LOCATIONS PHOTOCOPIEURS ","FACTURATION PÉRIODIQUE À RÉPARTIR",,"17 619 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","9000272906","MAGNE, HELENE","LOCATIONS PHOTOCOPIEURS ","FACTURATION PÉRIODIQUE À RÉPARTIR",,"48 695 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","9000280731","MAGNE, HELENE","LOCATIONS PHOTOCOPIEURS ","FACTURATION PÉRIODIQUE À RÉPARTIR",,"9 460 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","9000282046","MAGNE, HELENE","LOCATIONS PHOTOCOPIEURS ","FACTURATION PÉRIODIQUE À RÉPARTIR",,"7 834 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","9000296302","MAGNE, HELENE","CLIENT 630540 : FACTURATION CPC POUR LA PÉRIODE DU 1ER OCTOBRE AU 30 DÉCEMBRE 2013.","FACTURATION PÉRIODIQUE À RÉPARTIR",,"53 660 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","14237896","MAGNE, HELENE","LOCATION DE PHOTOCOPIEURS","FACTURATION PÉRIODIQUE À RÉPARTIR SELON UTILISATION",,"55 838 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","9000296301","MAGNE, HELENE","CLIENT 616096 : FACTURATION CPC POUR LA PÉRIODE DU 1ER OCTOBRE AU 31 DÉCEMBRE 2013.","FACTURATION PÉRIODIQUE À RÉPARTIR SELON UTILISATION",,"187 040 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","9000296302A","MAGNE, HELENE","CLIENT 630540 / FACTURATION DES LOCATIONS DE PHOTOCOPIEURS DIRECT SPVM COUVRANT DE JANVIER À MARS 2014.","FACTURATION PÉRIODIQUE À RÉPARTIR SELON UTILISATION",,"9 179 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","PLUSIEURS","MAGNE, HELENE","CLIENT 221009 / LOYER DU 01-01-14 AU 31-03-14. PHOTOCOPIEURS","FACTURATION PÉRIODIQUE À RÉPARTIR SELON UTILISATION",,"66 568 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","9000282052","RODOFILI, MYRIAM","LOCATION DE PHOTOCOPIEURS","SERA RÉPARTI ENTRE LES UTILISATEURS",,"193 533 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","962591","TRAVERS, REAL","PHOTOCOPIEURS (ADMINISTRATION - COMPTOIR CENTRAL - TENNIS)","SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS","ACT. RÉCRÉATIVES - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","8 143 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","955608","MARCOTTE, ANNE-MARIE","ACHAT D'UN PHOTOCOPIEUR","SERVICE DE L'APPROVISIONNEMENT","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 623 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","955621","MARCOTTE, ANNE-MARIE","ACHAT D'UN PHOTOCOPIEUR","SERVICE DE L'APPROVISIONNEMENT","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 623 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","955625","MARCOTTE, ANNE-MARIE","ACHAT D'UN PHOTOCOPIEUR","SERVICE DE L'APPROVISIONNEMENT","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 623 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","955629","MARCOTTE, ANNE-MARIE","ACHAT D'UN PHOTOCOPIEUR","SERVICE DE L'APPROVISIONNEMENT","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 623 $ "
"SHARP ELECTRONIQUE DU CANADA LTEE","955635","MARCOTTE, ANNE-MARIE","ACHAT D'UN PHOTOCOPIEUR","SERVICE DE L'APPROVISIONNEMENT","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 623 $ "
